"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,30518,JPS 103,001,4,Community Problem Solving,,,"Dyson, Omari",KING 123,Full Term Courses,TR,1:00pm - 2:15pm,22,25,,7/1,3,,
201730,Guilford,30611,JPS 103,002,4,Community Problem Solving,,,"Craven, Krista",KING 205,Full Term Courses,TR,6:00pm - 7:15pm,24,25,0/0,0/0,1,,
201730,Guilford,30612,JPS 200,001,4,Criminal Procedure,,,"Pizio, William",KING 205,Full Term Courses,M,2:30pm - 5:20pm,21,25,0/0,0/0,4,,
201730,Guilford,30468,JPS 200,002,4,Criminal Procedure,,,"Parrish, Christopher",KING 222,Full Term Courses,T,7:25pm - 10:10pm,13,25,0/0,0/0,12,,
201730,Guilford,32958,JPS 203,001,4,Corrections,,,"Davis, Nathaniel",KING 226,Full Term Courses,T,7:25pm - 10:10pm,15,25,0/0,0/0,10,,
201730,Guilford,32968,JPS 220,001,4,Community Building Fundamentls,,,"Craven, Krista",KING 205,Full Term Courses,R,7:25pm - 10:10pm,12,20,0/0,0/0,8,,
201730,Guilford,33077,JPS 221,001,4,Fundamentals of Cyber Security,Course Fee $20. Hybrid course. Contact instructor for further information.,,"Burnett, Brian",BAUM 104,Full Term Courses,M,6:00pm - 8:00pm,0,20,0/0,0/0,20,14,
201730,Guilford,30446,JPS 244,001,4,Conflict Resolution Strategies,,,"Hope, Mary",FRNK 220,Full Term Courses,TF,1:00pm - 2:15pm,15,16,0/0,0/0,1,,
201730,Guilford,31553,JPS 262,001,4,Restorative Justice,,,"Giles, Hollyce",KING B26,Full Term Courses,M,2:30pm - 5:20pm,20,25,0/0,0/0,5,,
201730,Guilford,30493,JPS 310,001,4,Public Managemt/Organiz Theory,Prerequisite: At least 12 credits at Guilford and at least one lower level JPS course.,,"Dyson, Omari",KING 123,Full Term Courses,T,7:25pm - 10:10pm,17,25,0/0,0/0,8,,
201730,Guilford,32615,JPS 333,001,4,Criminological Theory,,,"Bonventre, Catherine",KING 202,Full Term Courses,R,7:25pm - 10:10pm,20,25,0/0,0/0,5,,
201730,Guilford,33032,JPS 337,001,4,Research Methods-CJ,Prerequisite: Completion of JPS 337 with a C- or better grade is required for enrollment in JPS 480- CJ Capstone Seminar.,,"Qi, Ziwei",KING 205,Full Term Courses,T,7:25pm - 10:10pm,19,18,0/0,0/0,0,,
201730,Guilford,32969,JPS 350,001,4,Youth Led Social Movements,,,"Craven, Krista",KING 202,Full Term Courses,T,7:25pm - 10:10pm,20,25,0/0,0/0,5,,
